GEOID,county,value,year
41001,Baker,-51,2015
41001,Baker,160,2016
41001,Baker,150,2017
41001,Baker,-78,2018
41001,Baker,149,2019
41001,Baker,254,2021
41001,Baker,183,2022
41003,Benton,966,2015
41003,Benton,953,2016
41003,Benton,1474,2017
41003,Benton,909,2018
41003,Benton,499,2019
41003,Benton,1101,2021
41003,Benton,1461,2022
41005,Clackamas,5684,2015
41005,Clackamas,6078,2016
41005,Clackamas,5213,2017
41005,Clackamas,5604,2018
41005,Clackamas,2363,2019
41005,Clackamas,1115,2021
41005,Clackamas,29,2022
41007,Clatsop,360,2015
41007,Clatsop,814,2016
41007,Clatsop,506,2017
41007,Clatsop,351,2018
41007,Clatsop,530,2019
41007,Clatsop,913,2021
41007,Clatsop,-31,2022
41009,Columbia,41,2015
41009,Columbia,1211,2016
41009,Columbia,814,2017
41009,Columbia,83,2018
41009,Columbia,114,2019
41009,Columbia,591,2021
41009,Columbia,509,2022
41011,Coos,638,2015
41011,Coos,973,2016
41011,Coos,765,2017
41011,Coos,587,2018
41011,Coos,553,2019
41011,Coos,636,2021
41011,Coos,454,2022
41013,Crook,598,2015
41013,Crook,893,2016
41013,Crook,785,2017
41013,Crook,545,2018
41013,Crook,585,2019
41013,Crook,937,2021
41013,Crook,661,2022
41015,Curry,350,2015
41015,Curry,509,2016
41015,Curry,262,2017
41015,Curry,362,2018
41015,Curry,308,2019
41015,Curry,558,2021
41015,Curry,239,2022
41017,Deschutes,4310,2015
41017,Deschutes,5698,2016
41017,Deschutes,5772,2017
41017,Deschutes,4250,2018
41017,Deschutes,5446,2019
41017,Deschutes,5995,2021
41017,Deschutes,1128,2022
41019,Douglas,780,2015
41019,Douglas,1175,2016
41019,Douglas,1598,2017
41019,Douglas,777,2018
41019,Douglas,1274,2019
41019,Douglas,1643,2021
41019,Douglas,1213,2022
41021,Gilliam,-65,2015
41021,Gilliam,5,2016
41021,Gilliam,2,2017
41021,Gilliam,-57,2018
41021,Gilliam,32,2019
41021,Gilliam,1,2021
41021,Gilliam,12,2022
41023,Grant,23,2015
41023,Grant,-34,2016
41023,Grant,28,2017
41023,Grant,31,2018
41023,Grant,38,2019
41023,Grant,90,2021
41023,Grant,-17,2022
41025,Harney,36,2015
41025,Harney,68,2016
41025,Harney,24,2017
41025,Harney,28,2018
41025,Harney,115,2019
41025,Harney,121,2021
41025,Harney,-31,2022
41027,HoodRiver,142,2015
41027,HoodRiver,45,2016
41027,HoodRiver,193,2017
41027,HoodRiver,149,2018
41027,HoodRiver,36,2019
41027,HoodRiver,88,2021
41027,HoodRiver,-66,2022
41029,Jackson,2085,2015
41029,Jackson,2870,2016
41029,Jackson,2687,2017
41029,Jackson,2161,2018
41029,Jackson,1611,2019
41029,Jackson,1256,2021
41029,Jackson,-1789,2022
41031,Jefferson,305,2015
41031,Jefferson,415,2016
41031,Jefferson,567,2017
41031,Jefferson,267,2018
41031,Jefferson,474,2019
41031,Jefferson,599,2021
41031,Jefferson,237,2022
41033,Josephine,1282,2015
41033,Josephine,1377,2016
41033,Josephine,1317,2017
41033,Josephine,1443,2018
41033,Josephine,667,2019
41033,Josephine,1003,2021
41033,Josephine,-70,2022
41035,Klamath,385,2015
41035,Klamath,529,2016
41035,Klamath,609,2017
41035,Klamath,328,2018
41035,Klamath,618,2019
41035,Klamath,964,2021
41035,Klamath,306,2022
41037,Lake,-19,2015
41037,Lake,73,2016
41037,Lake,60,2017
41037,Lake,-23,2018
41037,Lake,80,2019
41037,Lake,164,2021
41037,Lake,151,2022
41039,Lane,3747,2015
41039,Lane,6330,2016
41039,Lane,6240,2017
41039,Lane,3766,2018
41039,Lane,3717,2019
41039,Lane,1856,2021
41039,Lane,56,2022
41041,Lincoln,719,2015
41041,Lincoln,983,2016
41041,Lincoln,1165,2017
41041,Lincoln,765,2018
41041,Lincoln,959,2019
41041,Lincoln,853,2021
41041,Lincoln,164,2022
41043,Linn,943,2015
41043,Linn,2138,2016
41043,Linn,2087,2017
41043,Linn,1003,2018
41043,Linn,2087,2019
41043,Linn,1152,2021
41043,Linn,808,2022
41045,Malheur,-119,2015
41045,Malheur,-29,2016
41045,Malheur,-98,2017
41045,Malheur,-199,2018
41045,Malheur,-117,2019
41045,Malheur,42,2021
41045,Malheur,201,2022
41047,Marion,2898,2015
41047,Marion,4615,2016
41047,Marion,3769,2017
41047,Marion,3137,2018
41047,Marion,892,2019
41047,Marion,661,2021
41047,Marion,-1363,2022
41049,Morrow,-1,2015
41049,Morrow,42,2016
41049,Morrow,-148,2017
41049,Morrow,-61,2018
41049,Morrow,164,2019
41049,Morrow,73,2021
41049,Morrow,-105,2022
41051,Multnomah,8323,2015
41051,Multnomah,7376,2016
41051,Multnomah,2534,2017
41051,Multnomah,7764,2018
41051,Multnomah,1501,2019
41051,Multnomah,-11628,2021
41051,Multnomah,-10965,2022
41053,Polk,1127,2015
41053,Polk,2131,2016
41053,Polk,1987,2017
41053,Polk,1178,2018
41053,Polk,948,2019
41053,Polk,1399,2021
41053,Polk,279,2022
41055,Sherman,-14,2015
41055,Sherman,27,2016
41055,Sherman,36,2017
41055,Sherman,-21,2018
41055,Sherman,76,2019
41055,Sherman,37,2021
41055,Sherman,42,2022
41057,Tillamook,315,2015
41057,Tillamook,549,2016
41057,Tillamook,523,2017
41057,Tillamook,294,2018
41057,Tillamook,399,2019
41057,Tillamook,479,2021
41057,Tillamook,-52,2022
41059,Umatilla,-549,2015
41059,Umatilla,-158,2016
41059,Umatilla,5,2017
41059,Umatilla,-556,2018
41059,Umatilla,249,2019
41059,Umatilla,-65,2021
41059,Umatilla,81,2022
41061,Union,54,2015
41061,Union,360,2016
41061,Union,142,2017
41061,Union,54,2018
41061,Union,137,2019
41061,Union,153,2021
41061,Union,-3,2022
41063,Wallowa,74,2015
41063,Wallowa,122,2016
41063,Wallowa,137,2017
41063,Wallowa,59,2018
41063,Wallowa,160,2019
41063,Wallowa,191,2021
41063,Wallowa,140,2022
41065,Wasco,215,2015
41065,Wasco,326,2016
41065,Wasco,525,2017
41065,Wasco,205,2018
41065,Wasco,251,2019
41065,Wasco,194,2021
41065,Wasco,-38,2022
41067,Washington,6689,2015
41067,Washington,6218,2016
41067,Washington,2614,2017
41067,Washington,6559,2018
41067,Washington,1671,2019
41067,Washington,-1092,2021
41067,Washington,-4165,2022
41069,Wheeler,-12,2015
41069,Wheeler,3,2016
41069,Wheeler,36,2017
41069,Wheeler,-6,2018
41069,Wheeler,-11,2019
41069,Wheeler,4,2021
41069,Wheeler,3,2022
41071,Yamhill,676,2015
41071,Yamhill,2127,2016
41071,Yamhill,1307,2017
41071,Yamhill,507,2018
41071,Yamhill,541,2019
41071,Yamhill,556,2021
41071,Yamhill,33,2022
